# NEM 2010 half-hourly demand
#
# NSW   QLD     SA1     TAS    VIC
7941.71 6582.46 1300.71 1121.05 5084.09
7980.47 6584.33 1300.10 1118.80 5111.47
7961.48 6650.20 1302.26 1117.19 5016.71
7916.13 6644.02 1300.47 1111.19 5002.62
7878.88 6626.84 1275.38 1132.12 4949.10
7933.04 6630.31 1258.50 1141.24 4920.78
7995.93 6612.50 1270.55 1151.74 4886.99
7832.08 6525.55 1284.84 1154.35 5093.91
7642.16 6433.87 1316.13 1145.09 5023.16
7596.42 6423.53 1301.35 1115.16 4939.77
7528.43 6148.46 1273.23 1083.53 4827.36
7445.23 5948.02 1232.68 1062.55 4730.77
7226.84 5819.74 1224.92 1039.79 4648.25
7041.45 5730.16 1236.20 1002.49 4821.22
6917.57 5550.49 1404.79 1005.27 4725.00
6813.43 5358.55 1343.24 992.57 4556.49
6633.42 5227.55 1286.17 991.44 4474.69
6424.02 5067.34 1189.94 979.46 4828.76
6218.66 4973.02 1110.13 973.89 4723.19
6106.83 4919.67 1068.65 988.45 4550.31
6067.46 4886.12 1039.24 992.16 4443.79
6083.12 4850.82 1024.45 996.18 4369.84
6153.59 4848.46 1037.42 1003.66 4313.14
6317.88 4865.14 1030.68 1004.14 4400.80
6522.17 4912.65 1047.19 1018.52 4476.39
6855.21 5048.34 1074.56 1050.59 4635.76
7256.79 5214.70 1119.99 1083.01 4811.81
7646.81 5568.24 1179.16 1110.81 5111.90
8040.24 5922.00 1266.65 1138.37 5397.67
8360.91 6280.02 1361.94 1160.13 5421.54
8689.94 6542.81 1388.69 1165.96 5579.68
9017.18 6772.70 1444.52 1185.52 5687.65
9174.86 7002.38 1487.17 1202.14 5775.08
9295.43 7096.41 1508.68 1205.02 5860.28
9415.46 7123.10 1549.90 1194.50 5881.64
9421.38 7153.78 1579.64 1183.28 5949.32
9468.92 7180.82 1620.08 1189.27 6045.26
9460.93 7133.11 1629.65 1197.41 6075.25
9378.86 7135.19 1656.77 1186.47 6074.50
9349.24 7161.26 1693.78 1169.00 6122.56
9329.34 7170.13 1740.09 1147.55 6220.21
9362.77 7172.56 1770.35 1130.54 6222.51
9319.96 7190.87 1793.11 1139.28 6247.15
9329.26 7184.67 1816.33 1182.88 6292.36
9324.71 7149.21 1829.62 1189.50 6358.30
9394.41 7139.40 1857.37 1180.60 6431.42
9452.31 7142.93 1897.99 1189.06 6525.60
9424.83 7127.03 1906.99 1206.19 6519.66
9334.77 7131.36 1912.85 1230.93 6499.81
9110.10 7048.82 1883.13 1228.75 6328.10
8967.91 6997.95 1838.11 1218.04 6191.65
8790.73 6815.88 1791.39 1211.64 6015.96
8652.85 6822.68 1712.13 1217.88 5869.57
8662.97 6840.68 1636.03 1215.74 5709.71
8703.79 6715.28 1579.11 1220.97 5663.48
8533.49 6551.34 1555.40 1225.91 5699.65
8276.32 6430.09 1564.65 1224.57 5633.49
8341.46 6434.84 1529.55 1197.14 5441.20
8220.04 6183.39 1449.31 1167.67 5232.72
8143.77 5995.42 1400.32 1139.92 5106.52
8009.50 5866.31 1363.79 1123.99 5011.05
7826.97 5778.81 1324.99 1090.75 5266.91
